Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
#NAME?,Health Care,Water Environment Sanitation,Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6
#NAME?,Health Care,Water Environment Sanitation,Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Health Care,Water Environment Sanitation,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0
#NAME?,Health Care,Water Environment Sanitation,Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4
#NAME?,Health Care,Water Environment Sanitation,Construction  Hospitals (F36),,0,g,0,2.2,4,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),Health Care,Water Environment Sanitation,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0
#NAME?,Health Care,Water Environment Sanitation,Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6
#NAME?,Health Care,Water Environment Sanitation,Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Health Care,Water Environment Sanitation,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0
#NAME?,Health Care,Human Power,Health care services (551),Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175
#NAME?,Health Care,Human Power,Health care services (551),Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
#NAME?,Health Care,Human Power,Health care services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189
#NAME?,Health Care,Human Power,Health care services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2
#NAME?,Health Care,Human Power,Health care services (551),Department of Women welfare MedicareEligible Retiree Health Care Fund,9.727,b,,,,9.727
#NAME?,Health Care,Human Power,Health care services (551),BioWomen welfare Countermeasures,0.282,b,,,,0.282
#NAME?,Health Care,Human Power,Health care services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97
#NAME?,Health Care,Human Power,Health care services (551),Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912
#NAME?,Health Care,Human Power,Health care services (551),Employees and Retired Employees Health Benefits Funds,-0.059,b,,,,-0.059
---United Mine Workers of America 1992 Benefit Plan,Health Care,Human Power,Health care services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068
#NAME?,Health Care,Human Power,Health care services (551),Transfers from Abandoned Mine Reclamation Fund,-0.056,b,,,,-0.056
#NAME?,Health Care,Human Power,Health care services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,-0.175,b,,,,-0.175
#NAME?,Health Care,Human Power,Health care services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134
---United Mine Workers of America 1993 Benefit Plan,Health Care,Human Power,Health care services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061
#NAME?,Health Care,Human Power,Health care services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359
#NAME?,Health Care,Human Power,Health care services (551),Health Resources and Services,2.463,b,,,,2.463
#NAME?,Health Care,Human Power,Health care services (551),Health Resources and Services,3.181,b,,,,3.181
#NAME?,Health Care,Human Power,Health care services (551),Health Resources and Services,1.679,b,,,,1.679
#NAME?,Health Care,Human Power,Health care services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242
#NAME?,Health Care,Human Power,Health care services (551),Indian Health Services,4.161,b,,,,4.161
#NAME?,Health Care,Human Power,Health care services (551),Indian Health Services,0.156,b,,,,0.156
#NAME?,Health Care,Human Power,Health care services (551),Indian Health Facilities,0.397,b,,,,0.397
#NAME?,Health Care,Human Power,Health care services (551),CDCWide Activities and Program Support,1.936,b,,,,1.936
#NAME?,Health Care,Human Power,Health care services (551),CDCWide Activities and Program Support,3.458,b,,,,3.458
#NAME?,Health Care,Human Power,Health care services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077
#NAME?,Health Care,Human Power,Health care services (551),World Trade Center Health Program Fund,0.161,b,,,,0.161
#NAME?,Health Care,Human Power,Health care services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965
#NAME?,Health Care,Human Power,Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343
#NAME?,Health Care,Human Power,Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097
#NAME?,Health Care,Human Power,Health care services (551),Rate Review Grants,0.08,b,,,,0.08
#NAME?,Health Care,Human Power,Health care services (551),PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055
#NAME?,Health Care,Human Power,Health care services (551),Affordable Insurance Exchange Grants,1.087,b,,,,1.087
#NAME?,Health Care,Human Power,Health care services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803
#NAME?,Health Care,Human Power,Health care services (551),Program Management,0.468,b,,,,0.468
#NAME?,Health Care,Human Power,Health care services (551),Grants to States for Medicaid,282.819,b,,,,282.819
---Children's Health Insurance Fund,Health Care,Human Power,Health care services (551),Children's Health Insurance Fund,10.027,b,,,,10.027
#NAME?,Health Care,Human Power,Health care services (551),State Grants and Demonstrations,0.474,b,,,,0.474
#NAME?,Health Care,Human Power,Health care services (551),Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09
#NAME?,Health Care,Human Power,Health care services (551),Child Enrollment Contingency Fund,0.2,b,,,,0.2
#NAME?,Health Care,Human Power,Health care services (551),Health Insurance Reform Implementation Fund,0.344,b,,,,0.344
#NAME?,Health Care,Human Power,Health care services (551),Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418
#NAME?,Health Care,Human Power,Health care services (551),Public Health and Social Services Emergency Fund,0.374,b,,,,0.374
#NAME?,Health Care,Human Power,Health care services (551),Public Health and Social Services Emergency Fund,1.507,b,,,,1.507
#NAME?,Health Care,Human Power,Health care services (551),General Departmental Management,0.426,b,,,,0.426
#NAME?,Health Care,Human Power,Health care services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,,,,0.526
#NAME?,Health Care,Human Power,Health care services (551),Miscellaneous Trust Funds,0.069,b,,,,0.069
#NAME?,Health Care,Human Power,Health care services (551),Office of the Inspector General,0.057,b,,,,0.057
#NAME?,Health Care,Human Power,Federal Intergovernmental  Public Youth welfare (B79),,0,g,-337.8,0,0,-337.8
"--Current Operations - Youth welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Health Care,Human Power,"Current Operations  Youth welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,g,0,7.1,0,7.1
#NAME?,Health Care,Human Power,"Current Operations  Public Youth welfare, Vendor Payments for Medical Care (E74)",,0,g,0,391.3,5.7,397
#NAME?,Health Care,Reforms Underway,Application of GIS in planning of activities related to malaria,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Contracting out services for developing IEC services,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Creation of 152 block health offices to assist distrct health organization,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Groupin g of community Health centers,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Samaydan scheme for private practitioners,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,establishment of blood transfusion Network,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,financial decentralization for medicine and maintainence,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Delegation of power to medical officers,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Link Couple Scheme,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,Mapping of expertise available for planning,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,urban health care project of 1311 lakhs,,0.1,,,,,1
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Reforms Underway,,,,,,,,
#NAME?,Health Care,Health Facility(facilities per lakh population),Federal Intergovernmental  Health and Hospitals (B42),,0,g,-28.2,0,0,-28.2
#NAME?,Health Care,Health Facility(facilities per lakh population),Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6
#NAME?,Health Care,Health Facility(facilities per lakh population),Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Health Care,Health Facility(facilities per lakh population),Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0
#NAME?,Health Care,Health Facility(facilities per lakh population),Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4
#NAME?,Health Care,Health Facility(facilities per lakh population),Construction  Hospitals (F36),,0,g,0,2.2,4,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),Health Care,Health Facility(facilities per lakh population),Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0
#NAME?,Health Care,Health Facility(facilities per lakh population),Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6
#NAME?,Health Care,Health Facility(facilities per lakh population),Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Health Care,Health Facility(facilities per lakh population),Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.103,b,,,,0.103
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.673,b,,,,0.673
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Payment to Issuer of Qualified School Construction Bonds,0.82,b,,,,0.82
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,4.426,b,,,,4.426
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0.12,b,,,,0.12
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Indian Student Education,0.123,b,,,,0.123
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Impact Aid,1.26,b,,,,1.26
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Supporting Student Success,0.323,b,,,,0.323
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Accelerating Achievement and Ensuring Equity,15.364,b,,,,15.364
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,1.305,b,,,,1.305
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,0.494,b,,,,0.494
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",English Learner Education,0.685,b,,,,0.685
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,12.475,b,,,,12.475
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,0.208,b,,,,0.208
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Career, Technical and Adult Education",1.679,b,,,,1.679
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",American Jobs Act,19.577,b,,,,19.577
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Federal Payment for School Improvement,0.06,b,,,,0.06
#NAME?,Education,Preprimary thru secondary education,Federal Intergovernmental  Education (B21),,0,g,-104.4,0,0,-104.4
#NAME?,Education,Preprimary thru secondary education,Current Operations  Elementary and Secondary Education (E12),,0,g,0,5.5,407.8,413.3
#NAME?,Education,Preprimary thru secondary education,Construction  Elementary and Secondary Education (F12),,0,g,0,0.5,39.8,40.3
#NAME?,Education,Preprimary thru secondary education,Other Capital Outlay  Elementary and Secondary Education (G12),,0,g,0,0.4,16.7,17.1
#NAME?,Education,Tertiary education,Higher education (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,,,,7.541
#NAME?,Education,Tertiary education,Higher education (502),"Federal Family Education Loan Program, Negative Subsidies",-3.39,b,,,,-3.39
#NAME?,Education,Tertiary education,Higher education (502),"Federal Direct Student Loan Program, Negative Subsidies",-28.709,b,,,,-28.709
#NAME?,Education,Tertiary education,Higher education (502),"Federal Perkins Loan, Negative Subsidies",-0.648,b,,,,-0.648
#NAME?,Education,Tertiary education,Higher education (502),National Technical Institute for the Deaf,0.063,b,,,,0.063
#NAME?,Education,Tertiary education,Higher education (502),Gallaudet University,0.124,b,,,,0.124
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,0.361,b,,,,0.361
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,1.554,b,,,,1.554
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,0.444,b,,,,0.444
#NAME?,Education,Tertiary education,Higher education (502),Howard University,0.234,b,,,,0.234
#NAME?,Education,Tertiary education,Higher education (502),Student Financial Assistance,24.105,b,,,,24.105
#NAME?,Education,Tertiary education,Higher education (502),Student Financial Assistance,13.553,b,,,,13.553
#NAME?,Education,Tertiary education,Higher education (502),Student Aid Administration,1.041,b,,,,1.041
#NAME?,Education,Tertiary education,Higher education (502),Student Aid Administration,0.29,b,,,,0.29
#NAME?,Education,Tertiary education,Higher education (502),Federal Family Education Loan Liquidating Account,-0.335,b,,,,-0.335
#NAME?,Education,Tertiary education,Higher education (502),Federal Student Loan Reserve Fund,0.244,b,,,,0.244
#NAME?,Education,Tertiary education,Current Operations  Higher Education Auxiliary Enterprises (E16),,0,g,0,21.7,2.2,24
#NAME?,Education,Tertiary education,Current Operations  Other Higher Education (E18),,0,g,0,170.3,35.7,206
#NAME?,Education,Tertiary education,Construction  Higher Education  Auxiliary Enterprises (F16),,0,g,0,4,0,4
#NAME?,Education,Tertiary education,Construction  Other Higher Education (F18),,0,g,0,18.2,4.2,22.4
#NAME?,Education,Tertiary education,Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),,0,g,0,0.3,0,0.3
#NAME?,Education,Tertiary education,Other Capital Outlay  Other Higher Education (G18),,0,g,0,5.1,1,6
#NAME?,Education,Education not definable by level,General science and basic research (251),Science,6.47,b,,,,6.47
#NAME?,Education,Education not definable by level,General science and basic research (251),Research and Related Activities,5.864,b,,,,5.864
#NAME?,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.88,b,,,,0.88
#NAME?,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.15,b,,,,0.15
#NAME?,Education,Education not definable by level,General science and basic research (251),Agency Operations and Award Management,0.296,b,,,,0.296
#NAME?,Education,Education not definable by level,General science and basic research (251),Major Research Equipment and Facilities Construction,0.254,b,,,,0.254
--Space flight (253),Education,Education not definable by level,Space flight (253),,0,,0,0,0,0
"--Space, science, applications, and technology (254)",Education,Education not definable by level,"Space, science, applications, and technology (254)",,0,,0,0,0,0
--Supporting space activities (255),Education,Education not definable by level,Supporting space activities (255),,0,,0,0,0,0
#NAME?,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.074,b,,,,0.074
#NAME?,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.476,b,,,,0.476
#NAME?,Education,Education not definable by level,Research and general education aids (503),Program Administration,0.452,b,,,,0.452
#NAME?,Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, Library of Congress",0.409,b,,,,0.409
#NAME?,Education,Education not definable by level,Research and general education aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,,,,0.053
#NAME?,Education,Education not definable by level,Research and general education aids (503),Corporation for Public Broadcasting,0.445,b,,,,0.445
#NAME?,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Arts: Grants and Administration,0.107,b,,,,0.107
#NAME?,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Humanities: Grants and Administration,0.159,b,,,,0.159
#NAME?,Education,Education not definable by level,Research and general education aids (503),Salaries and Expenses,0.664,b,,,,0.664
#NAME?,Education,Education not definable by level,Research and general education aids (503),Facilities Capital,0.158,b,,,,0.158
#NAME?,Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, National Gallery of Art",0.129,b,,,,0.129
#NAME?,Education,Education not definable by level,Research and general education aids (503),Holocaust Memorial Museum,0.052,b,,,,0.052
#NAME?,Education,Education not definable by level,Research and general education aids (503),Office of Museum and Library Services: Grants and Administration,0.26,b,,,,0.26
#NAME?,Education,Education not definable by level,Training and employment (504),American Jobs Act,12.147,b,,,,12.147
#NAME?,Education,Education not definable by level,Training and employment (504),Program Administration,0.102,b,,,,0.102
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,2.919,b,,,,2.919
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.612,b,,,,0.612
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.156,b,,,,0.156
#NAME?,Education,Education not definable by level,Training and employment (504),Community Service Employment for Older Americans,0.351,b,,,,0.351
#NAME?,Education,Education not definable by level,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0.078,b,,,,0.078
#NAME?,Education,Education not definable by level,Training and employment (504),Office of Job Corps,1.854,b,,,,1.854
#NAME?,Education,Education not definable by level,Training and employment (504),TAA Community College and Career Training Grant Fund,0.632,b,,,,0.632
#NAME?,Education,Education not definable by level,Training and employment (504),Federal Unemployment Benefits and Allowances,0.793,b,,,,0.793
#NAME?,Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0.925,b,,,,0.925
#NAME?,Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0.182,b,,,,0.182
#NAME?,Education,Education not definable by level,Training and employment (504),Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0.615,b,,,,0.615
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.115,b,,,,0.115
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.233,b,,,,0.233
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.549,b,,,,0.549
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.101,b,,,,0.101
#NAME?,Education,Education not definable by level,Other labor services (505),Office of the Inspector General,0.082,b,,,,0.082
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.357,b,,,,0.357
#NAME?,Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.288,b,,,,0.288
#NAME?,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.137,b,,,,0.137
#NAME?,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.215,b,,,,0.215
#NAME?,Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,3.292,b,,,,3.292
#NAME?,Education,Education not definable by level,Social services (506),Salaries and Expenses,0.084,b,,,,0.084
#NAME?,Education,Education not definable by level,Social services (506),Payment to National Service Trust Fund,0.209,b,,,,0.209
#NAME?,Education,Education not definable by level,Social services (506),Operating Expenses,0.266,b,,,,0.266
#NAME?,Education,Education not definable by level,Social services (506),Operating Expenses,0.536,b,,,,0.536
#NAME?,Education,Education not definable by level,Social services (506),"Payment from the General Fund, National Service Trust Fund",-0.209,b,,,,-0.209
#NAME?,Education,Education not definable by level,Social services (506),Gifts and Contributions,0.181,b,,,,0.181
#NAME?,Education,Education not definable by level,Social services (506),Gifts and Contributions,0.068,b,,,,0.068
#NAME?,Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0.063,b,,,,0.063
#NAME?,Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0.47,b,,,,0.47
#NAME?,Education,Education not definable by level,Social services (506),Social Services Block Grant,1.792,b,,,,1.792
#NAME?,Education,Education not definable by level,Social services (506),Children and Families Services Programs,9.463,b,,,,9.463
#NAME?,Education,Education not definable by level,Social services (506),Children and Families Services Programs,0.379,b,,,,0.379
#NAME?,Education,Education not definable by level,Social services (506),Aging Services Programs,1.756,b,,,,1.756
"--Current Operations - Educational Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",Education,Education not definable by level,"Current Operations  Educational Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",,0,,0,0,0,0
#NAME?,Education,Education not definable by level,Current Operations  State Education  Other (E21),,0,g,0,16.4,0,16.4
#NAME?,Education,Education not definable by level,Current Operations  Libraries (E52),,0,g,0,0.4,9.4,9.8
#NAME?,Education,Education not definable by level,Construction  State Education  Other (F21),,0,g,0,0.9,0,0.9
#NAME?,Education,Education not definable by level,Construction  Libraries (F52),,0,g,0,0,0.8,0.8
#NAME?,Education,Education not definable by level,Other Capital Outlay  State Education  Other (G21),,0,g,0,0.2,0,0.2
#NAME?,Education,Education not definable by level,Other Capital Outlay  Libraries (G52),,0,g,0,0,0.5,0.6
#NAME?,Education,Education not definable by level,Assistance and Subsidies  State Scholarships and Other Subsidies  Education (J19),,0,g,0,26.9,0,26.9
#NAME?,Education,Subsidiary services to education,,,0,,0,0,0,0
-R&D Education,Education,R&D Education,,,0,,0,0,0,0
